mlb_id,full_name,role,level,team_latest,seasons_used,pa,avg,obp,slg,ops,bb_pct,k_pct,iso,hr_total,bb_total,so_total,available,on_40man,acquirable,n_pitches,avg_ev,hard_hit_pct,xwoba,xba,xslg,whiff_pct,zone_sw_pct,chase_pct,age,position,bat_side,pitch_hand,birth_country,txn_type,pcl_inflated,kbo_ineligible,mlb_pitches,acquisition_tier,fit_runner_advancement,fit_two_out_abs_discipline,fit_early_inning_pressure,fit_kbo_masked_flaw,fit_acquisition_tier,ssg_fit_score,ops_park_adj,xwoba_kbo,kbo_ops_est,kbo_wrc_plus_est,abs_ops_bonus,kbo_ops_final,kbo_wrc_plus_final,translation_confidence,pcl_discount
642215,Weston Wilson,hitter,AAA,Lehigh Valley IronPigs,"[2023, 2024, 2025]",980,0.2518020408163265,0.3560306122448979,0.4921255102040816,0.8481561224489795,0.1377551020408163,0.2530612244897959,0.2406411402639823,52,135,248,True,False,True,337.0,87.6713517179619,0.4274557833879868,0.4418230699385645,0.3686347962382445,0.670019629795492,0.3132655201620719,0.6461192558978537,0.2256714775822141,31.0,3B,R,R,USA,Designated for Assignment,False,False,337.0,A_dfa_milb,24.0,14.0,20.0,10.0,12,80.0,0.8481561224489795,0.4329866085397932,0.887622547506576,142.17431330184127,0.0101,0.897722547506576,145.00231330184127,high,0.0
669261,Jack Suwinski,hitter,AAA,Indianapolis Indians,"[2024, 2025]",432,0.2624259259259259,0.3506574074074073,0.5084212962962963,0.8590787037037036,0.1111111111111111,0.2962962962962963,0.246639815353457,21,48,128,True,False,True,1406.6666666666667,89.09824606052894,0.4029960481573384,0.4079096247871739,0.3283564467425777,0.6362227526513792,0.2992252782358557,0.6320881078213787,0.1909271526906716,27.0,RF,L,L,USA,Designated for Assignment,False,False,1406.6666666666667,A_mlb_reject,19.0,14.0,15.0,10.0,15,73.0,0.8590787037037036,0.3997514322914304,0.8194904361974322,123.09732213528102,0.0138,0.8332904361974323,126.96132213528104,high,0.0
666211,Taylor Trammell,hitter,AAA,Sugar Land Space Cowboys,"[2023, 2024, 2025]",845,0.2612189349112426,0.3841076923076923,0.5142757396449704,0.8983834319526628,0.157396449704142,0.2591715976331361,0.2530529697054812,42,133,219,True,True,True,396.5,90.24491341991342,0.4304653679653679,0.3914465110693468,0.3041962719298245,0.6378311403508772,0.4107201042684913,0.6553611770839367,0.1960419855674612,28.0,CF,L,L,USA,Outrighted,True,False,396.5,C_outrighted,24.0,12.0,15.0,12.0,7,70.0,0.8556032685263455,0.3836175808479599,0.7864160407383177,113.83649140672897,0.0133,0.7997160407383177,117.56049140672896,medium,0.05
666624,Christopher Morel,hitter,AAA,Iowa Cubs,[2023],134,0.33,0.425,0.73,1.155,0.126865671641791,0.3059701492537313,0.4,11,17,41,True,True,True,1734.6666666666667,90.84873030046454,0.4687369426710266,0.4276518544322775,0.3436380140795659,0.6703904616320134,0.3664996775674222,0.7315381522204323,0.2853063673080494,26.0,1B,R,R,Dominican Republic,Designated for Assignment,False,False,1734.6666666666667,A_mlb_reject,21.0,4.0,20.0,10.0,15,70.0,1.155,0.4190988173436319,0.8591525755544454,134.20272115524472,0.0037,0.8628525755544454,135.23872115524472,high,0.0
666134,Nolan Jones,hitter,AAA,Albuquerque Isotopes,"[2023, 2024]",271,0.3287232472324723,0.4500036900369003,0.6521070110701107,1.1021107011070113,0.1586715867158671,0.2583025830258302,0.3240315615179973,15,43,70,True,False,True,1610.0,89.18846749334455,0.4439217081083411,0.4047721358209313,0.3433718407928658,0.6095748330586197,0.2852447208944801,0.5873238401200201,0.2506800463431796,28.0,RF,L,R,USA,Outrighted,True,False,1610.0,C_outrighted,24.0,10.0,15.0,12.0,7,68.0,1.001918819188192,0.39667669310451265,0.8131872208642509,121.33242184199025,0.0074,0.8205872208642508,123.40442184199024,medium,0.1
669911,Michael Toglia,hitter,AAA,Albuquerque Isotopes,"[2023, 2024, 2025]",679,0.2797260677466863,0.3756082474226804,0.5323873343151694,0.9079955817378498,0.1281296023564064,0.2400589101620029,0.2524302953590894,36,87,163,True,False,True,1290.3333333333333,90.74773634012668,0.4602758607518893,0.4187310409684033,0.3488609611635927,0.6441344707923655,0.3702521792470395,0.6879056821522376,0.2913417249316138,27.0,1B,S,L,USA,Designated for Assignment,True,False,1290.3333333333333,A_mlb_reject,21.0,4.0,15.0,12.0,15,67.0,0.8254505288525906,0.41035642014903523,0.8412306613055222,129.1845851655462,0.0031,0.8443306613055221,130.0525851655462,medium,0.1
681546,James Outman,hitter,AAA,,"[2024, 2025]",1099,0.2804576888080073,0.375073703366697,0.5668089171974522,0.9418826205641492,0.1219290263876251,0.292083712465878,0.2865198564334847,63,134,321,True,True,True,1188.3333333333333,87.43806763018198,0.3932418914357605,0.4134623165706642,0.3361728522422245,0.641278655805325,0.3834331999987106,0.6699487531622491,0.276101081293013,29.0,CF,L,R,USA,Designated for Assignment,False,False,1188.3333333333333,A_mlb_reject,19.0,4.0,15.0,10.0,15,63.0,0.9418826205641492,0.4051930702392509,0.8306457939904642,126.22082231732999,0.0047,0.8353457939904643,127.53682231733,high,0.0
682829,Elly De La Cruz,hitter,AAA,Louisville Bats,[2023],186,0.297,0.398,0.633,1.031,0.1397849462365591,0.2688172043010752,0.3354430379746835,12,26,50,False,True,False,2416.0,90.73050723493355,0.4543434592535235,0.4255307028103288,0.3660039973622935,0.6343301878347306,0.3175194682409369,0.6168914981329995,0.2896344789939362,24.0,SS,S,R,Dominican Republic,,False,False,2416.0,D_wrong_position,24.0,6.0,20.0,10.0,0,60.0,1.031,0.4170200887541222,0.8548911819459505,133.00953094486613,0.0033,0.8581911819459505,133.93353094486613,high,0.0
670242,Matt Wallner,hitter,AAA,St. Paul Saints,"[2023, 2024, 2025]",629,0.2771351351351351,0.3732527821939587,0.5521589825119237,0.9254117647058824,0.1160572337042925,0.2925278219395866,0.2750136717806936,35,73,184,False,True,False,1212.0,91.88396476992182,0.4901160474679473,0.4744682386841759,0.3588975757946904,0.7808036194558796,0.3675478395008236,0.7121978476357462,0.2700462306551948,28.0,RF,L,R,USA,,False,False,1212.0,D_on40man,22.0,4.0,20.0,10.0,0,56.0,0.9254117647058824,0.4649788739104924,0.9532066915165094,160.53787362462265,0.0054,0.9586066915165093,162.04987362462262,high,0.0
663609,Luken Baker,hitter,AAA,,"[2023, 2024, 2025]",1650,0.2507824242424242,0.3616169696969697,0.5309200000000001,0.8925369696969696,0.1466666666666666,0.2387878787878788,0.2795926085882173,101,242,394,True,False,True,273.0,92.87486722059305,0.5498615184099055,0.3611746976533962,0.3107372169975618,0.5408690525949146,0.3246484914494584,0.6591513194965196,0.2334679050049505,29.0,1B,R,R,USA,Designated for Assignment,False,False,273.0,A_dfa_milb,25.0,8.0,10.0,0.0,12,55.0,0.8925369696969696,0.3539512037003283,0.7255999675856729,96.80799092398841,0.0093,0.7348999675856729,99.41199092398841,high,0.0
665839,Enmanuel Valdez,hitter,AAA,Worcester Red Sox,"[2023, 2024]",457,0.2436608315098468,0.3594442013129103,0.4612297592997811,0.8206739606126915,0.1487964989059081,0.2210065645514223,0.2174036827498806,21,68,101,True,False,True,641.6666666666666,88.76404263472705,0.3957137965452175,0.3657044260326318,0.3126440555892324,0.5505367890258414,0.2269567387170924,0.5915609484673506,0.2820217948684554,27.0,1B,L,R,Dominican Republic,Designated for Assignment,False,False,641.6666666666666,A_mlb_reject,18.0,12.0,10.0,0.0,15,55.0,0.8206739606126915,0.3583903375119792,0.7347001918995573,99.35605373187603,0.0041,0.7388001918995573,100.50405373187604,high,0.0
656976,Pavin Smith,hitter,AAA,Reno Aces,"[2023, 2024, 2025]",596,0.3165453020134228,0.4282852348993288,0.533011744966443,0.9612969798657718,0.1627516778523489,0.1711409395973154,0.2164898224648735,22,97,102,False,True,False,938.3333333333334,90.05603881724097,0.440698529562813,0.4039138470653099,0.3353928509057289,0.6129052286294788,0.2445318259801206,0.5828982815470746,0.2116481787793962,30.0,1B,L,L,USA,,True,False,938.3333333333334,D_on40man,20.0,17.0,15.0,2.0,0,54.0,0.906883943269596,0.3958355701240037,0.8114629187542075,120.8496172511781,0.0116,0.8230629187542076,124.09761725117812,medium,0.06
701350,Roman Anthony,hitter,AAA,Worcester Red Sox,"[2024, 2025]",429,0.3094079254079254,0.4382913752913752,0.5017039627039627,0.939995337995338,0.1911421911421911,0.2027972027972027,0.1924100072955034,13,82,87,False,True,False,1283.0,94.46878612716762,0.6069364161849711,0.4686425675246755,0.3836337209302325,0.7197151162790697,0.2979166666666666,0.5596774193548387,0.200603318250377,22.0,LF,L,R,USA,,False,False,1283.0,D_prospect,18.0,14.0,20.0,0.0,0,52.0,0.939995337995338,0.45926971617418194,0.9415029181570729,157.2608170839804,0.0128,0.9543029181570729,160.84481708398042,high,0.0
687952,Christian Encarnacion-Strand,hitter,AAA,Louisville Bats,"[2023, 2025]",568,0.2928450704225352,0.3628521126760564,0.5731126760563381,0.9359647887323944,0.0880281690140845,0.2306338028169014,0.2805344997634957,31,50,131,True,True,True,619.0,88.64489383070303,0.433902970402253,0.4014164704712024,0.3343274604286159,0.6232526277177538,0.2817813994284582,0.6985898292032896,0.411264223633534,26.0,1B,R,R,USA,Designated for Assignment,False,False,619.0,A_mlb_reject,17.0,2.0,15.0,0.0,15,49.0,0.9359647887323944,0.39338814106177833,0.8064456891766455,119.44479296946074,0.0,0.8064456891766455,119.44479296946074,high,0.0
676914,Davis Schneider,hitter,AAA,Buffalo Bisons,"[2023, 2025]",552,0.2607971014492753,0.3968695652173913,0.5060434782608696,0.9029130434782608,0.1739130434782608,0.2391304347826087,0.2455914656487849,25,96,132,False,True,False,1190.0,89.63181834271353,0.391419772751407,0.3957580039778974,0.3043985579157416,0.6396117068917285,0.3212820946220669,0.657882575761346,0.1987545297738027,27.0,LF,R,R,USA,,False,False,1190.0,D_on40man,22.0,12.0,15.0,0.0,0,49.0,0.9029130434782608,0.38784284389833945,0.7950778299915958,116.26179239764683,0.013,0.8080778299915958,119.90179239764683,high,0.0
701305,Zach Dezenzo,hitter,AAA,Sugar Land Space Cowboys,"[2024, 2025]",141,0.305,0.3830992907801418,0.5509574468085107,0.9340567375886524,0.1063829787234042,0.2198581560283688,0.2454707674122567,7,15,31,False,True,False,362.5,88.39485655737704,0.4049180327868852,0.4418624000980999,0.3526854508196722,0.6936274590163936,0.3261829889188379,0.682936507936508,0.2680672268907563,26.0,LF,R,R,USA,,True,False,362.5,D_on40man,19.0,8.0,20.0,2.0,0,49.0,0.889577845322526,0.4330251520961379,0.8877015617970826,142.19643730318313,0.0056,0.8933015617970826,143.76443730318314,medium,0.05
