slot,player_id,player_name,roster_team,age,bat_side,birth_country,market_access_bucket,market_access_score,availability_gate_pass,first_pass_gate_pass,final_priority_score,recent_pa,recent_woba,recent_bb_pct,recent_k_pct,recent_whiff_per_swing,recent_nonfast_whiff_per_swing,recent_hardhit_rate,recent_barrel_rate,recent_hitter_count_xwoba,hitter_model_feature_count,hitter_model_feature_non_null_count,hitter_savant_pilot_success_prob,hitter_savant_pilot_failure_prob,hitter_savant_pilot_net_signal,hitter_savant_pilot_component_status,candidate_release_policy,is_final_recommendation,shortlist_label_allowed,candidate_name_release_allowed
regular_foreign_hitter_outfield_priority,669261,jack suwinski,LAD,27.0,Left,USA,non40man_org_candidate,75.0,True,True,66.49333037779364,178,0.2533898305084746,0.1348314606741573,0.3146067415730337,0.2990654205607476,0.3108108108108108,0.3870967741935484,0.1182795698924731,0.368,17,17,0.07872120786540131,0.9132531597774332,-0.8345319519120319,negative_pilot_signal_risk,signal_component_only_no_recommendation,False,False,False
regular_foreign_hitter_outfield_priority,666134,nolan jones,CLE,28.0,Left,USA,non40man_org_candidate,75.0,True,True,64.26127080170593,403,0.2779448621553885,0.0967741935483871,0.2803970223325062,0.2449238578680203,0.3431372549019608,0.4713114754098361,0.0860655737704918,0.597354822517971,17,17,0.6720029674124027,0.26336975823670367,0.40863320917569906,positive_pilot_signal_unranked,signal_component_only_no_recommendation,False,False,False
regular_foreign_hitter_outfield_priority,666185,dylan carlson,PHI,27.0,Switch,USA,non40man_org_candidate,75.0,True,True,58.29727405907097,245,0.2846938775510204,0.0857142857142857,0.2285714285714284,0.201325205406838,0.2474351902923331,0.2999004479840716,0.0659780985564957,0.3831447346600331,17,17,0.41985106572805964,0.4587260964134876,-0.03887503068542797,neutral_pilot_signal_unranked,signal_component_only_no_recommendation,False,False,False
regular_foreign_hitter_outfield_priority,664238,dylan moore,PHI,33.0,Right,USA,non40man_org_candidate,75.0,True,True,54.97561947714334,258,0.2792635658914728,0.0891472868217054,0.3410852713178294,0.3042524440292282,0.3116762307459982,0.3423034330011074,0.0807308970099667,0.2348333333333333,17,17,0.2296409466988677,0.7549547004036985,-0.5253137537048308,negative_pilot_signal_risk,signal_component_only_no_recommendation,False,False,False
regular_foreign_hitter_outfield_priority,682641,luis matos,MIL,24.0,Right,Venezuela,non40man_org_candidate,75.0,True,True,52.421074375699774,205,0.3002439024390244,0.0585365853658535,0.1658536585365853,0.1955393428515793,0.2724347454000855,0.3617620601917294,0.0676244570664884,0.366142857142857,17,17,0.8110753036678616,0.1761199296442735,0.6349553740235881,positive_pilot_signal_unranked,signal_component_only_no_recommendation,False,False,False
regular_foreign_hitter_outfield_priority,671221,drew waters,KC,27.0,Switch,USA,non40man_org_candidate,75.0,True,True,50.735303994910126,219,0.2903225806451613,0.0502283105022831,0.273972602739726,0.289532293986637,0.3122171945701357,0.2916666666666667,0.0416666666666666,0.4444904214559387,17,17,0.5015946280552799,0.49934435662932364,0.0022502714259562406,neutral_pilot_signal_unranked,signal_component_only_no_recommendation,False,False,False
regular_foreign_hitter_outfield_priority,672284,jarred kelenic,TEX,26.0,Left,USA,non40man_org_candidate,75.0,True,False,67.60782628192081,124,0.2596774193548387,0.0887096774193548,0.3467741935483871,0.3602150537634407,0.4138615784759171,0.457874296583974,0.1861839845710813,0.3228967741935484,17,17,0.07468899910181205,0.956419998756985,-0.881730999655173,negative_pilot_signal_risk,signal_component_only_no_recommendation,False,False,False
regular_foreign_hitter_outfield_priority,676551,brewer hicklen,ATL,30.0,Right,USA,non40man_org_candidate,75.0,True,False,67.14444182095924,4,0.625,0.25,0.25,0.4444444444444444,0.5714285714285714,0.5,0.5,,17,14,0.02,0.98,-0.96,negative_pilot_signal_risk,signal_component_only_no_recommendation,False,False,False
regular_foreign_hitter_outfield_priority,642215,weston wilson,BAL,31.0,Right,USA,dfa_designated_high_signal,95.0,True,False,64.69914520065618,171,0.3092160808233247,0.1052631578947368,0.2631578947368421,0.2715603852981195,0.3531672100605495,0.3995268322753702,0.0849369387381082,0.4117441630391769,17,17,0.1640432135916361,0.7751575219680408,-0.6111143083764047,negative_pilot_signal_risk,signal_component_only_no_recommendation,False,False,False
regular_foreign_hitter_outfield_priority,676914,davis schneider,TOR,27.0,Right,USA,40man_not_active_medium_low_access,35.0,False,False,63.642614806474846,316,0.333398662255466,0.1677215189873417,0.2879746835443038,0.2731085313872384,0.3241927617189583,0.4119177370755161,0.1277131184617704,0.4354115550281293,17,17,0.12414881747840908,0.8188879022328966,-0.6947390847544875,negative_pilot_signal_risk,signal_component_only_no_recommendation,False,False,False
