season,player_key,kbo_team,role_model_family,archetype_cluster_id,archetype_name,success,failure,in_season_replaced,injury_exit_flag,performance_exit_flag,has_savant_bool,has_milb_bool,backfill_need,backfill_priority,candidate_release_allowed,release_policy
2023,기예르모에레디아,SSG,hitter,0,hitter_everyday_middle_order_anchor,1,0,0,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_4_validation_sprint_research_only_no_candidate_release
2023,닉윌리엄스,한화,hitter,0,hitter_everyday_middle_order_anchor,0,1,0,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_4_validation_sprint_research_only_no_candidate_release
2023,댄스트레일리,롯데,pitcher,3,pitcher_failure_replacement_or_health_risk,0,1,1,0,1,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_4_validation_sprint_research_only_no_candidate_release
2023,딜런파일,두산,pitcher,0,pitcher_failure_replacement_or_health_risk,0,1,1,1,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_4_validation_sprint_research_only_no_candidate_release
2023,라울알칸타라,두산,pitcher,4,pitcher_load_bearing_rotation_anchor,1,0,0,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_4_validation_sprint_research_only_no_candidate_release
2023,리카르도산체스,한화,pitcher,4,pitcher_load_bearing_rotation_anchor,1,0,0,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_4_validation_sprint_research_only_no_candidate_release
2023,마리오산체스,KIA,pitcher,2,pitcher_failure_replacement_or_health_risk,0,1,0,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_4_validation_sprint_research_only_no_candidate_release
2023,브라이언오그레디,한화,hitter,1,hitter_failure_replacement_or_low_impact,0,1,1,1,1,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_4_validation_sprint_research_only_no_candidate_release
2023,소크라테스브리토,KIA,hitter,0,hitter_everyday_middle_order_anchor,1,0,0,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_4_validation_sprint_research_only_no_candidate_release
2023,아담플럿코,LG,pitcher,4,pitcher_load_bearing_rotation_anchor,1,0,0,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_4_validation_sprint_research_only_no_candidate_release
2023,아리엘후라도,키움,pitcher,1,pitcher_load_bearing_rotation_anchor,1,0,0,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_4_validation_sprint_research_only_no_candidate_release
2023,애런윌커슨,롯데,pitcher,1,pitcher_load_bearing_rotation_anchor,1,0,0,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_4_validation_sprint_research_only_no_candidate_release
2023,에디슨러셀,키움,hitter,1,hitter_failure_replacement_or_low_impact,0,1,1,1,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_4_validation_sprint_research_only_no_candidate_release
2023,에릭요키시,키움,pitcher,0,pitcher_failure_replacement_or_health_risk,0,1,1,1,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_4_validation_sprint_research_only_no_candidate_release
2023,웨스벤자민,KT,pitcher,1,pitcher_load_bearing_rotation_anchor,1,0,0,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_4_validation_sprint_research_only_no_candidate_release
2023,윌리엄쿠에바스,KT,pitcher,1,pitcher_load_bearing_rotation_anchor,1,0,0,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_4_validation_sprint_research_only_no_candidate_release
2023,이언매키니,키움,pitcher,2,pitcher_failure_replacement_or_health_risk,0,1,0,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_4_validation_sprint_research_only_no_candidate_release
2023,제이슨마틴,NC,hitter,0,hitter_everyday_middle_order_anchor,1,0,0,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_4_validation_sprint_research_only_no_candidate_release
2023,커크맥카티,SSG,pitcher,4,pitcher_load_bearing_rotation_anchor,1,0,0,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_4_validation_sprint_research_only_no_candidate_release
2023,토마스파노니,KIA,pitcher,2,pitcher_failure_replacement_or_health_risk,0,0,0,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_4_validation_sprint_research_only_no_candidate_release
2023,펠릭스페냐,한화,pitcher,4,pitcher_load_bearing_rotation_anchor,1,0,0,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_4_validation_sprint_research_only_no_candidate_release
2023,호세피렐라,삼성,hitter,0,hitter_everyday_middle_order_anchor,0,0,0,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_4_validation_sprint_research_only_no_candidate_release
2024,기예르모에레디아,SSG,hitter,0,hitter_everyday_middle_order_anchor,1,0,0,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_4_validation_sprint_research_only_no_candidate_release
2024,드류앤더슨,SSG,pitcher,1,pitcher_load_bearing_rotation_anchor,1,0,0,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_4_validation_sprint_research_only_no_candidate_release
2024,라울알칸타라,두산,pitcher,3,pitcher_failure_replacement_or_health_risk,0,1,1,0,1,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_4_validation_sprint_research_only_no_candidate_release
2024,루벤카데나스,삼성,hitter,1,hitter_failure_replacement_or_low_impact,0,1,1,1,1,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_4_validation_sprint_research_only_no_candidate_release
2024,리카르도산체스,한화,pitcher,0,pitcher_failure_replacement_or_health_risk,0,1,1,1,1,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_4_validation_sprint_research_only_no_candidate_release
2024,맷데이비드슨,NC,hitter,0,hitter_everyday_middle_order_anchor,1,0,0,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_4_validation_sprint_research_only_no_candidate_release
2024,멜로하스주니어,KT,hitter,0,hitter_everyday_middle_order_anchor,1,0,0,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_4_validation_sprint_research_only_no_candidate_release
2024,소크라테스브리토,KIA,hitter,0,hitter_everyday_middle_order_anchor,1,0,0,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_4_validation_sprint_research_only_no_candidate_release
2024,시라카와케이쇼,두산,pitcher,2,pitcher_failure_replacement_or_health_risk,0,1,1,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_4_validation_sprint_research_only_no_candidate_release
