provider,status,candidate_key,candidate_name,fit_slot,fit_review_lane,query,returned_rows,error_rows
naver_news,attempted,c58df457ee2acd50,"Sun, Yi-Lei",asian_quota,lane_1_source_fill_priority_locked,Yi-Lei Sun 계약 이적료 바이아웃,0,0
naver_news,attempted,c58df457ee2acd50,"Sun, Yi-Lei",asian_quota,lane_1_source_fill_priority_locked,Yi-Lei Sun 부상 KBO 한국,0,0
naver_news,attempted,77fcb317bda63213,"Yang, Po-Hsiang",asian_quota,lane_1_source_fill_priority_locked,Po-Hsiang Yang 계약 이적료 바이아웃,0,0
naver_news,attempted,77fcb317bda63213,"Yang, Po-Hsiang",asian_quota,lane_1_source_fill_priority_locked,Po-Hsiang Yang 부상 KBO 한국,0,0
naver_news,attempted,dc923c066641a262,"Gu Lin, Ruei-Yang",asian_quota,lane_1_source_fill_priority_locked,Ruei-Yang Gu Lin 계약 이적료 바이아웃,0,0
naver_news,attempted,dc923c066641a262,"Gu Lin, Ruei-Yang",asian_quota,lane_1_source_fill_priority_locked,Ruei-Yang Gu Lin 부상 KBO 한국,0,0
naver_news,attempted,abcd007c02e88802,WANG Wei Chen,asian_quota,lane_1_source_fill_priority_locked,WANG Wei Chen 계약 이적료 바이아웃,0,0
naver_news,attempted,abcd007c02e88802,WANG Wei Chen,asian_quota,lane_1_source_fill_priority_locked,WANG Wei Chen 부상 KBO 한국,0,0
naver_news,attempted,b900cfa1663d7462,TSENG Tzu Yu,asian_quota,lane_1_source_fill_priority_locked,TSENG Tzu Yu 계약 이적료 바이아웃,0,0
naver_news,attempted,b900cfa1663d7462,TSENG Tzu Yu,asian_quota,lane_1_source_fill_priority_locked,TSENG Tzu Yu 부상 KBO 한국,0,0
naver_news,attempted,4c25d0dd81e484e7,CHIANG Kun Yu,asian_quota,lane_1_source_fill_priority_locked,CHIANG Kun Yu 계약 이적료 바이아웃,0,0
naver_news,attempted,4c25d0dd81e484e7,CHIANG Kun Yu,asian_quota,lane_1_source_fill_priority_locked,CHIANG Kun Yu 부상 KBO 한국,0,0
naver_news,attempted,674e5533305cb46e,LIN Tzu Wei,asian_quota,lane_1_source_fill_priority_locked,LIN Tzu Wei 계약 이적료 바이아웃,0,0
naver_news,attempted,674e5533305cb46e,LIN Tzu Wei,asian_quota,lane_1_source_fill_priority_locked,LIN Tzu Wei 부상 KBO 한국,0,0
naver_news,attempted,674e5533305cb46e,LIN Tzu Wei,asian_quota,lane_1_source_fill_priority_locked,LIN Tzu Wei 계약 이적료 바이아웃,0,0
naver_news,attempted,674e5533305cb46e,LIN Tzu Wei,asian_quota,lane_1_source_fill_priority_locked,LIN Tzu Wei 부상 KBO 한국,0,0
naver_news,attempted,a96040b69b8259ba,YOU Jun You,asian_quota,lane_1_source_fill_priority_locked,YOU Jun You 계약 이적료 바이아웃,0,0
naver_news,attempted,a96040b69b8259ba,YOU Jun You,asian_quota,lane_1_source_fill_priority_locked,YOU Jun You 부상 KBO 한국,1,0
naver_news,attempted,5fe07483eaef76c0,CHEN Chieh Hsien,asian_quota,lane_1_source_fill_priority_locked,CHEN Chieh Hsien 계약 이적료 바이아웃,0,0
