slot,player_id,player_name,roster_team,age,pitch_hand,birth_country,market_access_bucket,market_access_score,availability_gate_pass,first_pass_gate_pass,final_priority_score,recent_starter_stabilizer_score,recent_woba_allowed,recent_three_ball_pitch_rate,milb_role_continuity_bucket,milb_role_context_score,milb_2026_ip,milb_2026_games_started,milb_2026_k9,milb_2026_bb9,milb_2026_hr9,pitcher_milb_damage_command_diagnostic_score,pitcher_milb_diagnostic_tags,pitcher_milb_diagnostic_status,pitcher_score_use_allowed,pitcher_diagnostic_use_allowed,candidate_release_policy,is_final_recommendation,shortlist_label_allowed,candidate_name_release_allowed
regular_foreign_pitcher,663559,"Falter, Bailey",KC,29.0,Left,USA,non40man_org_candidate,75.0,True,True,67.72322925696275,58.49103063858156,0.3514598564795272,0.0785889760038013,current_aaa_swing_or_multi_inning,76.551,16.0,0.0,12.9375,2.25,0.5625,74.088,current_aaa_multi_inning_track|bat_missing_upside|damage_command_watch,positive_diagnostic_watch_not_score,False,True,diagnostic_tags_only_no_recommendation,False,False,False
regular_foreign_pitcher,608650,"Enns, Dietrich",BAL,35.0,Left,USA,non40man_org_candidate,75.0,True,True,66.37761811282812,60.95831555026894,0.3311222593831289,0.0839349474902185,current_aaa_swing_or_multi_inning,67.346,11.666666666666666,1.0,10.8,4.628571428571429,3.8571428571428577,42.224,current_aaa_multi_inning_track|home_run_damage_risk|walk_command_risk|bat_missing_upside|volatile_stuff_profile,risk_diagnostic_review_needed,False,True,diagnostic_tags_only_no_recommendation,False,False,False
regular_foreign_pitcher,596295,"Gomber, Austin",ATL,32.0,Left,USA,non40man_org_candidate,75.0,True,True,62.35061713867481,51.09445051188184,0.4228782287822878,0.066066066066066,current_aaa_starter_load,89.705,57.0,13.0,7.578947368421052,3.31578947368421,2.052631578947368,47.467,current_aaa_starter_track|home_run_damage_risk,risk_diagnostic_review_needed,False,True,diagnostic_tags_only_no_recommendation,False,False,False
regular_foreign_pitcher,669060,"Wilson, Bryse",PHI,28.0,Right,USA,non40man_org_candidate,75.0,True,True,59.57513437400514,41.88015704384293,0.4237668161434977,0.0831381733021077,current_aaa_starter_load,92.285,54.333333333333336,11.0,9.607361963190185,3.478527607361963,0.8282208588957055,63.75,current_aaa_starter_track|bat_missing_upside|damage_command_watch,positive_diagnostic_watch_not_score,False,True,diagnostic_tags_only_no_recommendation,False,False,False
regular_foreign_pitcher,678394,"Bello, Brayan",BOS,27.0,Right,Dominican Republic,40man_not_active_medium_low_access,35.0,False,False,64.4743510359428,62.737777190416736,0.3337679148512563,0.0800164341971914,recent_2025_2026_track_noncurrent,58.472,4.0,1.0,11.25,0.0,0.0,77.053,bat_missing_upside,neutral_diagnostic_review,False,True,diagnostic_tags_only_no_recommendation,False,False,False
regular_foreign_pitcher,684320,"Rodríguez, Yariel",TOR,29.0,Right,Cuba,dfa_designated_high_signal,95.0,True,False,62.965164068712205,,0.3136205335376471,0.0937902425038591,current_aaa_swing_or_multi_inning,74.308,13.666666666666666,1.0,16.463414634146343,5.926829268292683,0.0,68.236,current_aaa_multi_inning_track|walk_command_risk|bat_missing_upside|volatile_stuff_profile,risk_diagnostic_review_needed,False,True,diagnostic_tags_only_no_recommendation,False,False,False
regular_foreign_pitcher,471911,"Carrasco, Carlos",ATL,39.0,Right,Venezuela,dfa_designated_high_signal,95.0,True,False,62.94419841311772,48.32534615463166,0.387358044618666,0.0783075908739022,current_aaa_starter_load,83.627,30.0,6.0,7.800000000000001,2.1,1.2,56.559,current_aaa_starter_track,neutral_diagnostic_review,False,True,diagnostic_tags_only_no_recommendation,False,False,False
regular_foreign_pitcher,682052,"Lopez, Jacob",ATH,28.0,Left,USA,40man_not_active_medium_low_access,35.0,False,False,62.052303839600086,58.31875756986187,0.3498960238004837,0.1014156390458963,no_2026_milb_track,43.0,,,,,,,no_current_milb_track,missing_or_stale_milb_context,False,True,diagnostic_tags_only_no_recommendation,False,False,False
regular_foreign_pitcher,694297,"Pfaadt, Brandon",AZ,27.0,Right,USA,40man_not_active_medium_low_access,35.0,False,False,61.21748753169398,55.609601014190275,0.352077214563766,0.0775523940864077,recent_2025_2026_track_noncurrent,46.517,3.0,1.0,3.0,0.0,0.0,59.961,neutral_milb_diagnostic,neutral_diagnostic_review,False,True,diagnostic_tags_only_no_recommendation,False,False,False
regular_foreign_pitcher,671106,"Allen, Logan",CLE,27.0,Left,USA,40man_not_active_medium_low_access,35.0,False,False,60.92456804302214,63.21005425231533,0.3412448612538539,0.0940281849633869,current_aaa_starter_load,92.208,52.333333333333336,11.0,10.490445859872612,4.2993630573248405,1.5477707006369426,56.14,current_aaa_starter_track|home_run_damage_risk|bat_missing_upside,risk_diagnostic_review_needed,False,True,diagnostic_tags_only_no_recommendation,False,False,False
